keepLevel;stone;common;metalType;uncommon;count
1;370 
2;2000 
3;3000 
4;4600 
5;7100 
6;10900 
7;15400 
8;21800 
9;30800 
10;43500 
11;47800 
12;59800 
13;71700;25;bronze;1
14;93200;54;bronze;4
15;149200;75;bronze;5
16;238700;100;bronze;7
17;417700;140;bronze;10
18;730900;200;bronze;14
19;1279100;290;bronze;20
20;2302300;400;bronze;27
21;2417500;330;iron;22
22;2780100;480;iron;33
23;3614100;630;iron;42
24;4698300;820;iron;55
25;6342700;1070;iron;72
26;10465500;1390;iron;94
27;14651700;1810;iron;120
28;20512400;2340;iron;160
29;28717400;3050;iron;210
30;40204400;3960;iron;270
31;42214600;3970;steel;270
32;46436100;4770;steel;320
33;53401500;5720;steel;390
34;64081800;6860;steel;460
35;83306300;8240;steel;560
36;108298200;9890;steel;670
37;140787700;11870;steel;800
38;184431800;14240;steel;960
39;241605700;17090;steel;1,150
40;316503500;20510;steel;1,380
