keepLevel;stone;common;metalType;uncommon;count
1;410
2;2200
3;3300
4;5100
5;7900
6;12200
7;17200
8;24200
9;34200
10;48300
11;53100
12;66400
13;79700
14;103600;46;bronze;2
15;165700;99;bronze;7
16;265200;140;bronze;9
17;464100;190;bronze;13
18;812100;270;bronze;18
19;1421200;370;bronze;26
20;2558200;520;bronze;36
21;2686100;740;bronze;50
22;3089000;610;iron;41
23;4015700;890;iron;60
24;5220400;1150;iron;78
25;7047500;1500;iron;100
26;11628400;1960;iron;130
27;16279700;2550;iron;170
28;22791600;3310;iron;220
29;31908200;4300;iron;290
30;44671500;5590;iron;380
31;46905100;7260;iron;490
32;51595600;7290;steel;490
33;59335000;8740;steel;590
34;71202000;10490;steel;710
35;92562600;12580;steel;850
36;120331300;15100;steel;1020
37;156430700;18120;steel;1220
38;204924300;21750;steel;1470
39;268450800;26110;steel;1760
40;351670500;31330;steel;2110
