keepLevel;stone;common;metalType;uncommon;count
1;290
2;1500
3;2300
4;3600
5;5500
6;8500
7;12000
8;17000
9;23900
10;33800
11;37200
12;46500
13;55800;15;bronze;1
14;72500;44;bronze;4
15;116000;65;bronze;5
16;185600;94;bronze;7
17;324800;130;bronze;10
18;568500;190;bronze;14
19;994800;280;bronze;20
20;1790700;390;bronze;27
21;1880200;320;iron;22
22;2162300;470;iron;33
23;2811000;620;iron;42
24;3654300;810;iron;55
25;4933200;1060;iron;72
26;8139900;1380;iron;94
27;11395800;1800;iron;120
28;15954100;2330;iron;160
29;22335800;3040;iron;210
30;31270100;3950;iron;270
31;32833600;3960;steel;270
32;36116900;4760;steel;320
33;41534500;5710;steel;390
34;49841400;6850;steel;460
35;64793800;8230;steel;560
36;84231900;9880;steel;670
37;109501500;11860;steel;800
38;143447000;14230;steel;960
39;187915600;17080;steel;1150
40;246169400;20500;steel;1380
