keepLevel;stone;metalType;common;uncommon;count
25;317420;iron;370;25
25;361550;iron;540;37
25;424980;iron;700;47
25;499540;iron;910;61
25;587170;iron;1190;80
26;690190;iron;1550;100
27;862730;iron;2010;140
28;1078420;iron;2600;180
29;1348020;iron;3390;230
30;1530000;iron;4400;300
31;1713600;steel;4420;300
32;1740800;steel;5300;360
33;1768000;steel;6360;430
34;1795200;steel;7630;510
35;1808800;steel;9150;620
36;1836000;steel;10980;740
37;1863200;steel;13180;890
38;1890400;steel;15820;1070
39;1917600;steel;18990;1280
40;1944800;steel;22790;1540
