keepLevel;stone;metalType;common;uncommon;count
1;120
2;650
3;1000
4;1500
5;2400
6;3600
7;5100
8;7300
9;10300
10;14500
11;15900
12;19900
13;23900;bronze;12;1
14;31100;bronze;26;2
15;49700;bronze;36;2
16;79600;bronze;49;3
17;139200;bronze;69;5
18;243600;bronze;97;7
19;426400;bronze;140;9
20;767400;bronze;190;13
21;805800;iron;160;11
22;926700;iron;230;16
23;1204700;iron;300;20
24;1566100;iron;390;26
25;2114200;iron;510;34
26;3488500;iron;660;45
27;4883900;iron;860;58
28;6837500;iron;1120;75
29;9572500;iron;1460;98
30;13401500;iron;1890;130
31;14071500;steel;1900;130
32;15478700;steel;2280;150
33;17800500;steel;2730;180
34;21360600;steel;3280;220
35;27768800;steel;3940;270
36;36099400;steel;4720;320
37;46929200;steel;5670;380
38;61477300;steel;6800;460
39;80535200;steel;8170;550
40;105501200;steel;9800;660
